,first_name,last_name,date_of_birth,source,source_link,nationalities,aliases,addresses,sanctions_programs,active,notes,source_id,entity_type
0,Khazalbek Bakhtibekovich,Atabekov,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,1,Individual
1,Dmitry Vladimirovich,Balaba,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,2,Individual
2,Aleksandr Petrovich,Barsukov,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,3,Individual
3,Yelena Nikolaevna,Dmukhailo,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,4,Individual
4,Vadim Dmitriyevich,Ipatov,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,5,Individual
5,Yuri Khadzhimuratovich,Karaev,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,6,Individual
6,Ivan Vladimirovich,Kubrakov,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,7,Individual
7,Aleksandr Grigoryevich,Lukashenko,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,8,Individual
8,Viktor Aleksandrovich,Lukashenko,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,9,Individual
9,Yuri Gennadevich,Nazarenko,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,10,Individual
10,Lidia Mikhailovna,Yermoshina,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,11,Individual
11,Aleksandr Mikhailovich,Aleshkevich,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,12,Individual
12,Aleksandr Vyacheslavovich,Astreyko,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,13,Individual
13,Aleksandr,Bykov,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,14,Individual
14,Irina Aleksandrovna,Tselikovets,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,15,Individual
15,Oleg Anatolyevich,Chernyshev,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,16,Individual
16,Mikhail Aleksandrovich,Domarnatskiy,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,17,Individual
17,Olga Leonidovna,Doroshenko,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,18,Individual
18,Andrey Vasilyevich,Galenka,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,19,Individual
19,Maxim Aleksandrovich,Gamola,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,20,Individual
20,Andrey Anatolyevich,Gurzhiy,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,21,Individual
21,Svetlana Petrovna,Katsubo,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,22,Individual
22,Vladimir Viktorovich,Kalach,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,23,Individual
23,Sergey Alekseyevich,Kalinovskiy,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,24,Individual
24,Gennady Arkadyevich,Kazakevich,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,25,Individual
25,Sergey Nikolayevich,Khomenko,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,26,Individual
26,Aleksandr Vladimirovich,Konyuk,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,27,Individual
27,Aleksandr Mikhailovich,Losyakin,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,28,Individual
28,Oleg Vladimirovich,Matkin,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,29,Individual
29,Maxim Yakovlevich,Mikhovich,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,30,Individual
30,Igor Anatolyevich,Plyshevskiy,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,31,Individual
31,Marina Yuryevna,Rakhmanova,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,32,Individual
32,Dmitry Vasilyevich,Reutskiy,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,33,Individual
33,Aleksandr Svyatoslavovich,Shepelev,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,34,Individual
34,Oleg Nikolayevich,Shulyakovskiy,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,35,Individual
35,Oleg Leonidovich,Slizhevskiy,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,36,Individual
36,Ivan Yuryevich,Sokolovskiy,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,37,Individual
37,Sergey Yevgenyevich,Terebov,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,38,Individual
38,Valery Pavlovich,Vakulchik,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,39,Individual
39,Anatoly Anatolyevich,Vasilyev,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,40,Individual
40,Aleksandr Pavlovich,Vasilyev,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,41,Individual
